item_id,timestamp,target_value
household_1,2006-12-16 17:00:00,4.222889
household_1,2006-12-16 18:00:00,3.6322
household_1,2006-12-16 19:00:00,3.4002333
household_1,2006-12-16 20:00:00,3.2685666
household_1,2006-12-16 21:00:00,3.0564666
household_1,2006-12-16 22:00:00,2.2001333
household_1,2006-12-16 23:00:00,2.0616
household_1,2006-12-17 00:00:00,1.8824667
household_1,2006-12-17 01:00:00,3.3494
household_1,2006-12-17 02:00:00,1.5872667
household_1,2006-12-17 03:00:00,1.6622001
household_1,2006-12-17 04:00:00,2.2157667
household_1,2006-12-17 05:00:00,1.9967333
household_1,2006-12-17 06:00:00,1.3033
household_1,2006-12-17 07:00:00,1.6200333
household_1,2006-12-17 08:00:00,1.8905666
household_1,2006-12-17 09:00:00,2.5490668
household_1,2006-12-17 10:00:00,3.6288998
household_1,2006-12-17 11:00:00,2.471
household_1,2006-12-17 12:00:00,1.9158666
household_1,2006-12-17 13:00:00,1.6607667
household_1,2006-12-17 14:00:00,2.0926332
household_1,2006-12-17 15:00:00,2.9854
household_1,2006-12-17 16:00:00,3.3260334
household_1,2006-12-17 17:00:00,3.4067667
household_1,2006-12-17 18:00:00,3.6971002
household_1,2006-12-17 19:00:00,2.9084
household_1,2006-12-17 20:00:00,3.3615
household_1,2006-12-17 21:00:00,3.0407667
household_1,2006-12-17 22:00:00,1.518
household_1,2006-12-17 23:00:00,0.43773332
household_1,2006-12-18 00:00:00,0.27636668
household_1,2006-12-18 01:00:00,0.3133
household_1,2006-12-18 02:00:00,0.28446668
household_1,2006-12-18 03:00:00,0.30993333
household_1,2006-12-18 04:00:00,1.0263333
household_1,2006-12-18 05:00:00,0.2935
household_1,2006-12-18 06:00:00,0.60999995
household_1,2006-12-18 07:00:00,2.4504333
household_1,2006-12-18 08:00:00,2.0821333
household_1,2006-12-18 09:00:00,1.6293334
household_1,2006-12-18 10:00:00,1.3096334
household_1,2006-12-18 11:00:00,1.5619334
household_1,2006-12-18 12:00:00,1.7560667
household_1,2006-12-18 13:00:00,1.6820667
household_1,2006-12-18 14:00:00,1.7330334
household_1,2006-12-18 15:00:00,1.7843
household_1,2006-12-18 16:00:00,1.9493
household_1,2006-12-18 17:00:00,2.1549
household_1,2006-12-18 18:00:00,2.4025333
household_1,2006-12-18 19:00:00,2.6144998
household_1,2006-12-18 20:00:00,3.0505667
household_1,2006-12-18 21:00:00,2.1697335
household_1,2006-12-18 22:00:00,1.7388
household_1,2006-12-18 23:00:00,1.5472666
household_1,2006-12-19 00:00:00,0.83713335
household_1,2006-12-19 01:00:00,0.35303333
household_1,2006-12-19 02:00:00,0.32723334
household_1,2006-12-19 03:00:00,0.3083
household_1,2006-12-19 04:00:00,0.32783332
household_1,2006-12-19 05:00:00,0.30666667
